#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     48.4535     48.4535           0
           2     45.6007     47.0271     16.6266
           3     39.3447     44.4663     12.1022
           4     39.0908     43.1225     9.33628
           5     42.7138     43.0407     7.69936
           6     45.6325     43.4727     6.61416
           7     41.5812     43.2025     5.71396
           8     42.5253     43.1178     5.04163
           9     46.2354     43.4642     4.55316
          10     47.8695     43.9048     4.16517
          11     40.2991      43.577     3.77718
          12     46.6092     43.8297     3.49698
          13     45.5199     43.9597     3.24885
          14     42.7732     43.8749     3.01992
          15     41.2565     43.7004     2.81457
          16     48.1024     43.9755     2.66119
          17     43.3674     43.9397     2.50752
          18     40.8531     43.7682     2.36306
          19     45.2894     43.8483     2.24625
          20     45.7977     43.9458     2.14165
