#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.433363    0.433363           0
           2    0.421249    0.427402     0.15111
           3    0.450387    0.438879    0.119448
           4    0.419808    0.435592   0.0943084
           5    0.412834    0.431073   0.0771128
           6    0.433973    0.431769   0.0656916
           7    0.407648    0.428447   0.0566665
           8     0.41037    0.426195   0.0498336
           9     0.42989    0.426821   0.0447122
          10    0.425541    0.427093   0.0405176
          11    0.433296    0.427949   0.0370939
          12    0.446816    0.429584   0.0342746
          13    0.411676    0.428313   0.0316546
          14    0.422864    0.428004   0.0294596
          15    0.426297    0.427968   0.0275637
          16    0.423577    0.427997   0.0259004
          17    0.412764    0.427101   0.0243735
          18    0.415904    0.426554   0.0230298
          19    0.437635    0.427161   0.0218825
          20    0.408324    0.426303   0.0207754
