#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.469157    0.469157           0
           2    0.484702    0.477284    0.168746
           3    0.439323    0.465422    0.126672
           4    0.453199    0.463007    0.100244
           5    0.515482    0.474938   0.0849595
           6    0.507966    0.480486   0.0731036
           7    0.438561    0.475684    0.062914
           8    0.505379     0.48058   0.0561927
           9    0.472522    0.479924   0.0502752
          10    0.459775    0.478027   0.0453497
          11    0.535672    0.484959   0.0420355
          12    0.418177    0.481145   0.0383885
          13    0.510679    0.483418   0.0357272
          14    0.505294    0.485041   0.0333855
          15    0.474765    0.484389   0.0311976
          16    0.431856    0.482096   0.0291742
          17    0.515167    0.484044    0.027623
          18    0.465154    0.483011   0.0260779
          19     0.48202    0.483047   0.0247454
          20    0.446992    0.481677   0.0234741
