#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.65685     1.65685           0
           2     1.66946     1.66316  0.00445792
           3     1.70878     1.67836   0.0127669
           4     1.73298     1.69202   0.0152153
           5     1.72932     1.69948   0.0138814
           6     1.64312     1.69009   0.0143996
           7     1.65306      1.6848   0.0132787
           8     1.66725      1.6826   0.0117986
           9     1.65603     1.67965   0.0108508
          10     1.67062     1.67875  0.00980318
          11     1.69365      1.6801  0.00900515
          12     1.70864     1.68248  0.00856294
          13     1.66886     1.68143  0.00796809
          14     1.69456     1.68237  0.00745387
          15     1.67515     1.68189  0.00697247
          16     1.66937     1.68111  0.00658042
          17     1.66656     1.68025  0.00624873
          18     1.65895     1.67907  0.00601262
          19      1.7062     1.68049  0.00586328
          20        1.74     1.68347  0.00627978
