#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.23123     0.23123           0
           2    0.227565    0.229397  0.00129571
           3    0.231898    0.230231  0.00109974
           4    0.227615    0.229577   0.0010005
           5    0.229465    0.229555  0.00080065
           6    0.227748    0.229253 0.000721626
           7    0.229293    0.229259 0.000618559
           8     0.23019    0.229375 0.000552077
           9    0.227189    0.229133 0.000541532
          10    0.229559    0.229175 0.000489057
          11    0.228741    0.229136 0.000446189
          12    0.234264    0.229563 0.000578514
          13    0.231164    0.229686  0.00054697
          14    0.229727    0.229689 0.000507908
          15    0.225379    0.229402 0.000549358
          16    0.229623    0.229416 0.000515197
          17    0.227614     0.22931 0.000495676
          18    0.225606    0.229104 0.000509064
          19    0.226846    0.228985 0.000495952
          20    0.229467    0.229009 0.000471741
