#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.999998    0.999998           0
           2    0.999974    0.999986 8.48529e-06
           3     0.99999    0.999987 5.76066e-06
           4    0.999998     0.99999 4.89898e-06
           5           1    0.999992 4.30813e-06
           6    0.999996    0.999993 3.64133e-06
           7    0.999994    0.999993 3.12612e-06
           8     0.99966    0.999951 3.90159e-05
           9    0.999998    0.999956 3.50249e-05
          10           1    0.999961 3.17921e-05
          11    0.999954     0.99996 2.89079e-05
          12    0.999998    0.999963 2.66701e-05
          13     0.99994    0.999962 2.46789e-05
          14    0.999902    0.999957 2.32797e-05
          15     0.99996    0.999957 2.17284e-05
          16    0.999994     0.99996   2.049e-05
          17    0.999998    0.999962 1.94078e-05
          18           1    0.999964 1.84441e-05
          19           1    0.999966 1.75698e-05
          20           1    0.999968 1.67734e-05
