#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -1.02       -1.02           0
           2    -1.01997    -1.01998 1.00692e-05
           3    -1.01998    -1.01998 6.73663e-06
           4       -1.02    -1.01999 5.84206e-06
           5       -1.02    -1.01999 5.31935e-06
           6       -1.02    -1.01999 4.56907e-06
           7    -1.01999    -1.01999 3.92551e-06
           8    -1.01984    -1.01997 1.77509e-05
           9       -1.02    -1.01997 1.59849e-05
          10       -1.02    -1.01998 1.45925e-05
          11    -1.01997    -1.01998 1.32927e-05
          12       -1.02    -1.01998 1.22893e-05
          13    -1.01994    -1.01997 1.16319e-05
          14    -1.01991    -1.01997 1.17958e-05
          15    -1.01998    -1.01997 1.10145e-05
          16    -1.01999    -1.01997  1.0408e-05
          17       -1.02    -1.01997 9.89315e-06
          18       -1.02    -1.01997 9.45555e-06
          19       -1.02    -1.01998 9.05178e-06
          20       -1.02    -1.01998 8.67869e-06
