#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     166.666     166.666           0
           2     166.658     166.662      58.924
           3     166.663     166.663     45.3598
           4     166.666     166.663     36.0837
           5     166.667     166.664     29.8138
           6     166.665     166.664     25.3572
           7     166.665     166.664      22.043
           8     166.567     166.652     19.4861
           9     166.666     166.654     17.4581
          10     166.667     166.655     15.8103
          11     166.652     166.655     14.4454
          12     166.666     166.656     13.2967
          13     166.648     166.655     12.3167
          14     166.636     166.654     11.4708
          15     166.654     166.654     10.7335
          16     166.665     166.654     10.0852
          17     166.666     166.655     9.51054
          18     166.667     166.656     8.99779
          19     166.667     166.656     8.53744
          20     166.667     166.657     8.12185
