#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.450255    0.450255           0
           2    0.414708    0.432535    0.152924
           3    0.467092    0.444061    0.120858
           4    0.446452     0.44484   0.0963106
           5    0.427504    0.441386   0.0789576
           6    0.440109    0.441755   0.0672109
           7    0.417947    0.438392   0.0579818
           8    0.435488    0.438155   0.0512321
           9    0.454252    0.439946   0.0460872
          10    0.426508    0.438602   0.0416095
          11    0.435492    0.438321    0.037993
          12    0.443519    0.438755   0.0350063
          13    0.424005    0.437621   0.0323425
          14    0.424784    0.436704   0.0300584
          15    0.454087    0.437875   0.0282018
          16    0.439383    0.438031   0.0265076
          17    0.447081    0.438674   0.0250339
          18    0.428388    0.438163   0.0236565
          19    0.443811    0.438505   0.0224636
          20    0.417414    0.437495   0.0213209
