#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.8084     15.8084           0
           2     13.9333     14.8708     5.25764
           3     15.1906     14.9774     4.07634
           4     14.9136     14.9615     3.23925
           5       14.32     14.8332     2.65344
           6     16.9441      15.185     2.31032
           7     13.9409     15.0073     1.98486
           8     15.7304     15.0977     1.76532
           9     15.8927      15.186     1.59083
          10      14.422     15.1096     1.43342
          11     14.5058     15.0547     1.30492
          12      14.732     15.0278       1.199
          13     14.4252     14.9815     1.10721
          14     13.5042     14.8759     1.02392
          15     15.4746     14.9159    0.960673
          16     16.0581     14.9872    0.906959
          17      18.046     15.1672    0.865548
          18     13.1546     15.0554    0.812844
          19     16.4745     15.1301     0.77508
          20     14.1444     15.0808    0.734946
