#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.537701    0.537701           0
           2    0.493664    0.515701    0.182328
           3    0.537552    0.523115    0.142374
           4    0.563622    0.533402    0.115485
           5    0.540517    0.535578    0.095807
           6    0.524742    0.533971   0.0812412
           7    0.499669    0.529466   0.0700272
           8    0.512862    0.527615   0.0616923
           9     0.52887    0.527786   0.0552891
          10    0.516424     0.52665   0.0499624
          11    0.556732    0.529396   0.0458872
          12    0.525558    0.529091   0.0422139
          13    0.518365    0.528292   0.0390436
          14    0.490981    0.525627   0.0361791
          15    0.524227    0.525566   0.0338496
          16    0.508215    0.524549   0.0317433
          17    0.520734    0.524336   0.0299224
          18    0.468591    0.521374   0.0281491
          19    0.487799    0.519684   0.0266223
          20    0.540011    0.520732   0.0253773
