#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     32.9014     32.9014           0
           2     32.3953     32.6483     11.5429
           3     35.0187     33.4385      9.1008
           4      32.616     33.2328     7.19512
           5     31.1348     32.8132     5.86981
           6     33.8011     32.9779     5.01742
           7     30.4922     32.6228     4.31469
           8     31.7003     32.5075     3.80099
           9     31.9636      32.447     3.39904
          10     31.4241     32.3447     3.06849
          11     32.6177     32.3696     2.80574
          12     32.1605     32.3521     2.58123
          13     30.9003     32.2405     2.38274
          14      31.387     32.1795     2.21492
          15     33.0295     32.2362     2.07621
          16     34.7805     32.3952     1.96041
          17     31.6011     32.3485     1.84604
          18     28.5924     32.1398     1.73524
          19     28.9814     31.9736     1.63794
          20     30.7508     31.9124     1.55522
