#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.26026     8.26026           0
           2     8.02976     8.14501      2.8797
           3      7.8968     8.06227     2.19427
           4     9.00628     8.29827     1.79663
           5     8.35015     8.30865      1.4863
           6      8.1603     8.28393     1.26036
           7     8.03451     8.24829     1.09092
           8     7.95295     8.21138     0.96013
           9     8.46686     8.23976    0.863169
          10     7.71058     8.18685    0.776672
          11     8.77839     8.24062    0.714284
          12     8.42718     8.25617    0.658723
          13     7.67814      8.2117    0.606889
          14     7.88915     8.18867    0.563628
          15     8.23269      8.1916    0.527589
          16     8.69371     8.22298    0.497617
          17     7.97256     8.20825    0.468422
          18      8.2879     8.21268    0.443405
          19     8.40767     8.22294    0.421243
          20     8.16884     8.22023    0.400605
