#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.767223   -0.767223           0
           2   -0.767696   -0.767459 0.000167443
           3   -0.765959   -0.766959 0.000423382
           4   -0.770005   -0.767721 0.000731933
           5   -0.768857   -0.767948 0.000619808
           6   -0.767606   -0.767891 0.000519121
           7   -0.769395   -0.768106  0.00048739
           8   -0.764712   -0.767681 0.000582496
           9   -0.767489    -0.76766 0.000518165
          10   -0.767039   -0.767598 0.000470054
          11    -0.76952   -0.767773 0.000458633
          12   -0.768304   -0.767817 0.000422547
          13    -0.76834   -0.767857 0.000391954
          14   -0.765076   -0.767659 0.000411218
          15   -0.768366   -0.767706   0.0003865
          16   -0.771189   -0.767924 0.000419201
          17   -0.762891   -0.767628 0.000487994
          18   -0.766964   -0.767591 0.000462272
          19   -0.769657   -0.767699 0.000450558
          20   -0.768721   -0.767751 0.000430914
