#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.441765    0.441765           0
           2     0.43245     0.43711    0.154542
           3    0.434836    0.436377    0.118767
           4    0.445972    0.438863   0.0950166
           5    0.441195     0.43934   0.0785915
           6     0.43367    0.438395   0.0666997
           7    0.442519    0.438998   0.0580619
           8    0.434851    0.438543   0.0512774
           9    0.443996    0.439149   0.0460037
          10     0.41778    0.437014   0.0414588
          11    0.448334    0.438058   0.0379702
          12    0.440231     0.43824   0.0349653
          13     0.42898    0.437529   0.0323357
          14    0.442438    0.437905   0.0301411
          15    0.440967    0.438111    0.028217
          16    0.441682     0.43837   0.0265281
          17    0.437909    0.438413    0.025019
          18    0.447334    0.438909   0.0236968
          19      0.4314    0.438525   0.0224647
          20    0.455706    0.439386    0.021413
