#   N_BLOCK:  ACCEPTANCE:
           1    0.231698
           2    0.231227
           3    0.231501
           4    0.231248
           5    0.231117
           6     0.23124
           7      0.2311
           8    0.231428
           9    0.231493
          10    0.231497
          11    0.231388
          12    0.231261
          13    0.231203
          14    0.231441
          15    0.231369
          16    0.231146
          17    0.231385
          18    0.231411
          19    0.231358
          20    0.231296
