#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.008048   -0.008048           0
           2    0.002152   -0.002948  0.00360624
           3     -0.0051 -0.00366533  0.00247448
           4    0.003208   -0.001947  0.00237881
           5    0.006028   -0.000352   0.0023784
           6   -0.003498-0.000876333  0.00203898
           7   -0.002888 -0.00116371  0.00176783
           8    0.003902  -0.0005305  0.00165638
           9    0.002442-0.000200222  0.00150491
          10    0.001084   -7.18e-05  0.00135988
          11   -0.008658-0.000852364  0.00144299
          12     -0.0072 -0.00138133  0.00141638
          13   -0.009594 -0.00201308  0.00144145
          14    0.002038 -0.00172371  0.00136722
          15   -0.002636 -0.00178453  0.00127743
          16   -0.000914 -0.00173012  0.00119875
          17     0.00962 -0.00106247  0.00130094
          18    0.003592-0.000803889   0.0012541
          19    0.000418-0.000739579  0.00118974
          20       0.007  -0.0003526  0.00119153
