#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271915    0.271915           0
           2    0.270781    0.271348 0.000400987
           3    0.273567    0.272088 0.000660475
           4    0.268696     0.27124 0.000885824
           5    0.267101    0.270412   0.0010249
           6    0.270796    0.270476 0.000856082
           7    0.270168    0.270432 0.000734915
           8    0.270044    0.270384 0.000644649
           9    0.268264    0.270148 0.000614547
          10    0.268792    0.270012 0.000567853
          11    0.273081    0.270291 0.000580705
          12     0.27578    0.270749 0.000689289
          13    0.270098    0.270699 0.000638084
          14    0.275596    0.271048 0.000681685
          15    0.269898    0.270972 0.000640541
          16    0.273631    0.271138 0.000621691
          17     0.26779    0.270941  0.00061553
          18    0.265876     0.27066 0.000642448
          19    0.268936    0.270569 0.000615009
          20    0.274251    0.270753 0.000611194
