#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.2416      2.2416           0
           2     2.15325     2.19742   0.0312382
           3     2.19519     2.19668   0.0208343
           4     2.16431     2.18859   0.0171257
           5     2.21331     2.19353   0.0143968
           6     2.11817     2.18097   0.0165948
           7     2.16979     2.17937   0.0143007
           8     2.20447     2.18251   0.0128527
           9     2.22749     2.18751   0.0123582
          10     2.17467     2.18623   0.0111889
          11      2.1439     2.18238   0.0108132
          12     2.20962     2.18465   0.0101476
          13     2.15865     2.18265  0.00956199
          14     2.20085     2.18395  0.00896697
          15     2.20817     2.18556  0.00851339
          16     2.10736     2.18068  0.00927896
          17     2.15068     2.17891  0.00889932
          18     2.16534     2.17816  0.00843677
          19     2.19719     2.17916  0.00805196
          20     2.12599      2.1765  0.00807638
