#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     54.3296     54.3296           0
           2     49.9792     52.1544     18.4394
           3     52.5906     52.2998     14.2342
           4     53.5731     52.6181     11.3922
           5      55.017     53.0979     9.49844
           6     58.2132     53.9504      8.2083
           7     53.8776       53.94     7.13411
           8      56.494     54.2593     6.34436
           9      60.044      54.902     5.75135
          10     60.7715      55.489     5.26415
          11     55.5496     55.4945     4.81017
          12     55.6578     55.5081     4.42875
          13     53.0484     55.3189     4.08836
          14     51.4265     55.0409     3.78848
          15     53.8841     54.9637        3.54
          16     52.9581     54.8384     3.31856
          17     58.0876     55.0295     3.14038
          18     55.4306     55.0518     2.97226
          19     62.1288     55.4243     2.83926
          20     56.7778     55.4919     2.70434
