#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.508856    0.508856           0
           2    0.498454    0.506888    0.179212
           3    0.484757    0.499594    0.135972
           4     0.48736    0.496546    0.107505
           5    0.499171    0.497319   0.0889632
           6    0.462406    0.493308   0.0750544
           7    0.476388    0.490959   0.0649343
           8    0.485244    0.490475   0.0573496
           9    0.446554    0.487053    0.051022
          10    0.457272    0.484978   0.0460091
          11    0.489755    0.485415    0.042075
          12    0.476833    0.484701   0.0386721
          13    0.510087    0.486772    0.035975
          14    0.513274    0.488939   0.0336538
          15    0.529059    0.491641   0.0316647
          16    0.518401    0.493399   0.0298582
          17    0.517502    0.494873    0.028241
          18    0.498879    0.495113   0.0267313
          19    0.437819    0.492952   0.0252529
          20    0.494627    0.493074   0.0240295
