#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     18.3032     18.3032           0
           2     17.4568       17.88     6.32154
           3     20.5388     18.7663     5.10754
           4     18.6031     18.7255     4.05419
           5     17.1695     18.4143     3.29405
           6      20.868     18.8232     2.86387
           7     17.1279     18.5811     2.45753
           8     19.9471     18.7518     2.19259
           9     17.5398     18.6171     1.95027
          10     18.1179     18.5672     1.76144
          11     20.0885     18.7055     1.62136
          12      18.884     18.7204     1.49362
          13     18.3521     18.6921     1.38144
          14     17.9566     18.6395     1.28296
          15      17.715     18.5779     1.19653
          16     19.9437     18.6633     1.12941
          17     19.2014     18.6949     1.06687
          18     16.4755     18.5716     1.00269
          19     18.4812     18.5669    0.951139
          20     17.6601     18.5215    0.902627
