#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.498697    0.498697           0
           2    0.467977    0.483354    0.170891
           3    0.526524    0.498115     0.13557
           4     0.52288    0.504306    0.109186
           5    0.468421    0.497434   0.0889838
           6    0.505984     0.49914   0.0759417
           7    0.490642    0.498189   0.0658905
           8    0.507021    0.499296   0.0583811
           9    0.503903     0.49988   0.0523657
          10    0.502503    0.500142   0.0474476
          11    0.499705     0.50018   0.0433548
          12    0.507999    0.500831   0.0399591
          13    0.472321    0.498638    0.036852
          14    0.481598    0.497468   0.0342408
          15     0.49704    0.497625   0.0320501
          16    0.481216    0.496648   0.0300548
          17    0.492193    0.496386   0.0283274
          18    0.460994    0.494497    0.026698
          19     0.50167    0.494875   0.0253513
          20    0.474183    0.493867   0.0240681
