#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.324475    0.324475           0
           2    0.267107    0.296502    0.104829
           3    0.201956    0.267157    0.072711
           4    0.238261    0.260221   0.0563394
           5    0.335793    0.276282   0.0494228
           6    0.296811    0.279735   0.0425603
           7    0.199023    0.268727   0.0355418
           8    0.289287    0.272001   0.0318042
           9    0.249258    0.269541   0.0282362
          10    0.254918    0.268093   0.0254335
          11    0.278772    0.269068   0.0233224
          12    0.224247    0.265446   0.0211787
          13    0.224287    0.262381   0.0193914
          14    0.214387    0.259046   0.0178302
          15    0.366353    0.266726   0.0171788
          16    0.238199    0.264986   0.0160358
          17    0.301626    0.267209   0.0152489
          18    0.387653    0.275108   0.0148532
          19    0.299451    0.276398   0.0141593
          20    0.269028    0.276031   0.0134521
