#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     85.9087     85.9087           0
           2     89.7635     87.8361     31.0547
           3     93.1225     89.5982     24.3856
           4     91.9683     90.1908     19.5269
           5     86.5629     89.4652      16.004
           6     89.5559     89.4803      13.614
           7     92.8996     89.9688     11.8993
           8     88.9025     89.8355     10.5042
           9      90.864     89.9498     9.42283
          10     89.7737     89.9322     8.53171
          11     90.4192     89.9764     7.79901
          12     92.4876     90.1857     7.19552
          13     91.8954     90.3172     6.67492
          14      91.737     90.4186     6.22354
          15     84.8492     90.0473      5.7996
          16     91.8035     90.1571     5.45589
          17     88.0909     90.0356     5.13808
          18     81.6218     89.5681     4.83581
          19     89.4353     89.5611     4.58802
          20     89.6355     89.5649     4.36485
