#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.74979     1.74979           0
           2     1.68304     1.71642    0.606845
           3     1.70244     1.71176    0.465882
           4     1.72431      1.7149    0.371286
           5     1.69447     1.71081    0.306039
           6     1.73939     1.71557    0.261016
           7     1.74928     1.72039    0.227539
           8     1.70032     1.71788    0.200866
           9     1.68989     1.71477    0.179634
          10     1.68287     1.71158    0.162375
          11     1.70411      1.7109    0.148298
          12     1.70344     1.71028    0.136456
          13     1.67778     1.70778    0.126214
          14     1.70608     1.70766    0.117539
          15     1.70884     1.70774    0.109989
          16     1.71847     1.70841    0.103385
          17     1.68714     1.70716   0.0974227
          18     1.73427     1.70866   0.0922513
          19     1.73392     1.70999   0.0875992
          20     1.71006        1.71   0.0833349
