#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.044558    0.044558           0
           2    0.032292    0.038425  0.00433669
           3     0.03764   0.0381633  0.00289901
           4    0.037316   0.0379515  0.00218198
           5     0.03541   0.0374432  0.00180382
           6     0.03597   0.0371977   0.0015198
           7     0.04226   0.0379209  0.00146468
           8    0.041948   0.0384243  0.00136536
           9    0.029718   0.0374569  0.00151815
          10    0.026328    0.036344  0.00172671
          11    0.031522   0.0359056  0.00162443
          12     0.02335   0.0348593  0.00179466
          13    0.033684   0.0347689  0.00165889
          14    0.039094   0.0350779   0.0015689
          15     0.03648   0.0351713  0.00146709
          16     0.03809   0.0353538  0.00138669
          17     0.03371   0.0352571  0.00130849
          18    0.031094   0.0350258  0.00125607
          19    0.037728    0.035168  0.00119798
          20     0.03439   0.0351291  0.00113871
