#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.233721    0.233721           0
           2    0.229408    0.231571   0.0818727
           3    0.235674    0.232943    0.063399
           4    0.229004    0.231989   0.0502271
           5    0.228588    0.231309   0.0413779
           6    0.233448    0.231666   0.0352468
           7     0.23356    0.231951   0.0306778
           8    0.233123    0.232099   0.0271386
           9    0.230251    0.231894   0.0242924
          10    0.232096    0.231916   0.0220015
          11    0.227709    0.231536   0.0200692
          12      0.2347      0.2318   0.0184943
          13    0.235827    0.232111   0.0171542
          14    0.234446    0.232279   0.0159878
          15    0.228504    0.232027    0.014944
          16    0.230723    0.231949   0.0140365
          17    0.226897    0.231652   0.0132197
          18    0.229528    0.231534   0.0125006
          19    0.227822    0.231341   0.0118511
          20    0.233383    0.231444   0.0112792
