#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.156914    0.156914           0
           2     0.15787    0.157392 0.000337997
           3    0.169522    0.161435  0.00330905
           4    0.115576    0.149971   0.0102343
           5    0.125138    0.145004  0.00931489
           6     0.16285    0.147978  0.00822358
           7    0.131528    0.145628  0.00737693
           8      0.1952    0.151825  0.00867532
           9    0.145174    0.151086  0.00774281
          10     0.14278    0.150255  0.00701293
          11    0.134666    0.148838  0.00651702
          12    0.155672    0.149408  0.00599876
          13    0.165932    0.150679  0.00567039
          14    0.162668    0.151535  0.00532964
          15    0.140296    0.150786  0.00502673
          16    0.136348    0.149883  0.00479286
          17    0.126984    0.148536  0.00469641
          18    0.140508     0.14809  0.00445662
          19    0.133866    0.147342  0.00428448
          20    0.134656    0.146707  0.00411694
