#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.43927     0.43927           0
           2    0.440956    0.440401    0.155705
           3    0.439245    0.440016    0.119757
           4     0.42654    0.436677   0.0945434
           5    0.433436    0.436031   0.0779996
           6    0.447057    0.437876   0.0666207
           7    0.433489    0.437249   0.0578306
           8    0.443186    0.437992    0.051213
           9     0.43985    0.438253   0.0459099
          10    0.438759    0.438315   0.0415822
          11    0.427691    0.437352   0.0379089
          12    0.449267     0.43836   0.0349748
          13    0.434272    0.438045   0.0323739
          14    0.445992    0.438678   0.0301943
          15    0.435017    0.438435   0.0282379
          16    0.416161    0.437044   0.0264478
          17    0.432979    0.436837   0.0249291
          18    0.452328    0.437698   0.0236314
          19    0.435954    0.437609   0.0224178
          20    0.420306    0.436753   0.0212847
