#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.60986     8.60986           0
           2     8.07252     8.34119     2.94906
           3     8.64486     8.44241     2.29773
           4     7.68459     8.25296     1.78682
           5     7.93292     8.18895     1.46488
           6     8.47975     8.23742     1.25328
           7     7.90354     8.18972     1.08317
           8     9.06725     8.29941    0.970423
           9     7.95388     8.26102    0.865396
          10     7.60841     8.19576    0.777518
          11     8.29778     8.20503    0.711199
          12      8.9835      8.2699    0.659819
          13     7.72925     8.22832    0.608116
          14     8.72938     8.26411    0.568821
          15     8.06746       8.251    0.531415
          16     8.07439     8.23996    0.498644
          17     7.85302      8.2172    0.468932
          18     7.97808     8.20391    0.442932
          19     8.17586     8.20244    0.420193
          20     7.47193     8.16591    0.397957
