#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.002874   -0.002874           0
           2    0.000362   -0.001256   0.0011441
           3   -0.003234 -0.00191533 0.000933582
           4    0.009144   0.0008495  0.00249469
           5   -0.003704   -6.12e-05  0.00215558
           6     0.00191 0.000267333  0.00182118
           7    0.002834    0.000634   0.0015975
           8   -0.009368 -0.00061625  0.00182253
           9    0.000236-0.000521556  0.00162248
          10      0.0033  -0.0001394  0.00150457
          11   -0.005692-0.000644182     0.00145
          12     0.00203-0.000421333  0.00134618
          13   -0.000248   -0.000408  0.00124269
          14     0.00224-0.000218857  0.00116823
          15    0.001258  -0.0001204  0.00109449
          16    0.001868   3.875e-06  0.00103312
          17    0.000546 3.57647e-05 0.000972839
          18    0.002472 0.000171111 0.000928159
          19    0.003386 0.000340316 0.000894599
          20     0.00047   0.0003468 0.000849893
