#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.201226    0.201226           0
           2    0.200718    0.200996   0.0710627
           3    0.199155    0.200382   0.0545371
           4    0.194417    0.198893   0.0430616
           5    0.196434    0.198407   0.0354922
           6    0.195218    0.197876   0.0301058
           7    0.196827    0.197732    0.026152
           8    0.200933    0.198137   0.0231675
           9    0.197374    0.198052   0.0207473
          10    0.195949    0.197846   0.0187693
          11    0.192474    0.197358   0.0171067
          12    0.197267    0.197351   0.0157457
          13    0.197785    0.197384   0.0145877
          14    0.196519    0.197323   0.0135818
          15    0.194752    0.197152   0.0126978
          16    0.198651    0.197246   0.0119364
          17    0.197674    0.197272   0.0112577
          18    0.195218    0.197159   0.0106447
          19    0.193842    0.196985   0.0100911
          20    0.198116    0.197042  0.00960262
