#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36937     1.36937           0
           2      1.3433     1.35633    0.479536
           3     1.34346     1.35204     0.36798
           4     1.36267      1.3547    0.293301
           5     1.35523     1.35481    0.242355
           6     1.31325     1.34788    0.205073
           7     1.35395     1.34875    0.178385
           8      1.3893     1.35382    0.158297
           9     1.35998      1.3545    0.141893
          10     1.32164     1.35122    0.128188
          11     1.38833     1.35459    0.117414
          12     1.37779     1.35652    0.108231
          13     1.35849     1.35667    0.100265
          14     1.37378      1.3579   0.0934643
          15     1.34877     1.35729   0.0874176
          16     1.35903      1.3574   0.0821433
          17     1.37179     1.35824   0.0775111
          18     1.37348     1.35909   0.0733776
          19     1.34012     1.35809    0.069572
          20     1.38667     1.35952   0.0662548
