#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.58805     7.58805           0
           2     7.02778     7.30792    0.198083
           3     7.71295     7.44293     0.17202
           4     6.95045     7.31981    0.167372
           5      7.3452     7.32489    0.133975
           6     7.55366     7.36302    0.116946
           7     7.19589     7.33914    0.102648
           8     7.64652     7.37756   0.0967408
           9     7.42318     7.38263   0.0861245
          10     6.80133      7.3245   0.0951278
          11     7.40225     7.33157    0.086742
          12     7.66388     7.35926   0.0838174
          13      6.7747      7.3143   0.0886144
          14        7.92     7.35756   0.0922436
          15     7.03111      7.3358   0.0886243
          16     7.35884     7.33724    0.083097
          17      7.3884     7.34025   0.0782634
          18     7.19322     7.33208   0.0743404
          19      7.4449     7.33802   0.0706646
          20     6.58631     7.30043   0.0764765
