#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     166.662     166.662           0
           2     164.307     165.484     58.5075
           3     166.663     165.877     45.1461
           4     166.666     166.074     35.9562
           5     166.667     166.193     29.7295
           6     166.632     166.266     25.2966
           7     166.665     166.323     21.9979
           8     166.438     166.337     19.4493
           9     166.666     166.374     17.4288
          10     166.667     166.403     15.7864
          11     166.421     166.405     14.4237
          12     166.666     166.427     13.2784
          13       166.2     166.409     12.2985
          14     166.633     166.425     11.4551
          15     166.653      166.44     10.7198
          16     166.665     166.454      10.073
          17     166.666     166.467     9.49979
          18     166.667     166.478     8.98819
          19     166.667     166.488     8.52881
          20     166.667     166.497     8.11405
