#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1 0.000888667 0.000888667           0
           2   0.0583862    0.029878   0.0105635
           3 0.000710969   0.0202097  0.00550039
           4 0.000177769   0.0152231  0.00329591
           5           0    0.012189  0.00218044
           6  0.00266467   0.0106052  0.00161353
           7  0.00035552  0.00914461  0.00120947
           8   0.0134598  0.00968459  0.00113239
           9 0.000177769   0.0086308 0.000904133
          10           0  0.00776961  0.00073709
          11   0.0124009  0.00819114 0.000709995
          12 0.000177769  0.00752475 0.000600366
          13   0.0229609  0.00871699 0.000644231
          14  0.00408419  0.00838647 0.000577243
          15  0.00142165  0.00792301  0.00051029
          16  0.00035552  0.00745099 0.000450899
          17 0.000177769  0.00702398 0.000400839
          18           0  0.00663449 0.000358198
          19           0  0.00628592 0.000322014
          20           0  0.00597216 0.000291047
