#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.371512    0.371512           0
           2    0.371618    0.371696    0.131414
           3    0.370567    0.371324    0.101062
           4    0.357673    0.367915   0.0796558
           5     0.36399     0.36713   0.0656742
           6    0.359209    0.365819   0.0556577
           7    0.366126    0.365865   0.0483893
           8    0.364602    0.365709   0.0427612
           9    0.373343    0.366573   0.0384009
          10    0.366761    0.366606   0.0347793
          11    0.375484    0.367414   0.0318469
          12    0.365354    0.367244   0.0293008
          13     0.37614    0.367934   0.0271923
          14    0.356563    0.367138   0.0252702
          15    0.376014    0.367736   0.0236845
          16    0.374307    0.368148   0.0222786
          17    0.363789    0.367891   0.0209945
          18    0.367175    0.367852   0.0198604
          19    0.374332    0.368193   0.0188617
          20    0.371288    0.368348   0.0179511
