#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.47699     4.47699           0
           2     4.27396     4.37547     1.54696
           3     4.41075     4.38723     1.19405
           4      4.4573     4.40475    0.953656
           5     4.19786     4.36337    0.780543
           6     4.36653      4.3639    0.663946
           7     4.55509     4.39121    0.580782
           8     4.54668     4.41064    0.515722
           9     4.39416     4.40881    0.461852
          10     4.52648     4.42058    0.419373
          11      4.4337     4.42177    0.383272
          12     4.46095     4.42504    0.353054
          13     4.47015     4.42851     0.32729
          14     4.39339       4.426    0.304643
          15     4.56734     4.43542    0.285668
          16     4.67937     4.45067    0.269334
          17     4.39176      4.4472    0.253789
          18     4.24109     4.43575    0.239488
          19     4.37189     4.43239    0.227062
          20     4.35775     4.42866    0.215826
