#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.71312     1.71312           0
           2     1.70815     1.71064    0.604801
           3     1.69213     1.70447    0.463897
           4     1.67499      1.6971    0.367432
           5     1.69478     1.69663    0.303503
           6     1.67694     1.69335    0.257635
           7     1.72305     1.69759    0.224524
           8     1.69191     1.69688    0.198411
           9      1.7374     1.70139    0.178231
          10     1.72495     1.70374    0.161631
          11     1.68147     1.70172    0.147502
          12     1.68241     1.70011    0.135644
          13     1.66666     1.69754    0.125457
          14     1.72611     1.69958    0.116982
          15      1.6594      1.6969    0.109291
          16     1.71393     1.69796    0.102753
          17       1.687     1.69732   0.0968612
          18     1.75682     1.70062   0.0918172
          19     1.66572     1.69879   0.0870252
          20     1.70291     1.69899   0.0827987
