#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.238988    0.238988           0
           2    0.234034    0.236562   0.0836373
           3    0.229787    0.234314   0.0637722
           4    0.228331    0.232819   0.0504068
           5    0.227411    0.231747   0.0414561
           6    0.231804    0.231761   0.0352613
           7    0.230614    0.231597    0.030631
           8    0.233163    0.231794   0.0271029
           9    0.234714    0.232118   0.0243159
          10    0.232131    0.232121   0.0220209
          11    0.232354    0.232144   0.0201218
          12    0.233156    0.232229   0.0185285
          13    0.232243    0.232232   0.0171632
          14    0.229411    0.232034    0.015971
          15    0.233033    0.232102   0.0149488
          16    0.233458    0.232188   0.0140509
          17    0.231755    0.232162   0.0132489
          18    0.233442    0.232233   0.0125384
          19    0.235912    0.232427   0.0119067
          20    0.230903    0.232353   0.0113235
