#   N_BLOCK:  ACCEPTANCE:
           1    0.238418
           2    0.238261
           3    0.238071
           4    0.237962
           5    0.237572
           6    0.237429
           7    0.237631
           8    0.238043
           9    0.238268
          10    0.238189
          11    0.238304
          12    0.238206
          13    0.238142
          14    0.238248
          15    0.238071
          16    0.237948
          17    0.238034
          18    0.238086
          19    0.238024
          20    0.238043
