#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.36152     7.36152           0
           2     7.34296     7.35224     2.59941
           3     7.52976     7.41142     2.01713
           4     7.96491     7.54979     1.63458
           5     7.51689     7.54321     1.34937
           6     7.54997     7.54434     1.14783
           7     7.24499     7.50157    0.992158
           8     7.17041     7.46018    0.872295
           9     7.48775     7.46324    0.781823
          10     7.61478      7.4784    0.709463
          11     7.29342     7.46158    0.646758
          12     7.39968     7.45642    0.594915
          13     7.23512      7.4394    0.549811
          14     7.45598     7.44058    0.512137
          15     8.00576     7.47826    0.481646
          16     7.38997     7.47274    0.452216
          17     7.28217     7.46153    0.425809
          18     7.41816     7.45912     0.40272
          19     7.69512     7.47154    0.382751
          20     7.59746     7.47784    0.364425
