#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420237    0.420237           0
           2    0.421688    0.420966    0.148834
           3    0.417615    0.419854     0.11427
           4    0.424193    0.420979   0.0911445
           5    0.417908    0.420415   0.0752062
           6    0.420568    0.420444   0.0639685
           7    0.414559    0.419612   0.0554978
           8    0.411777    0.418704   0.0489578
           9     0.43248    0.420257   0.0440246
          10    0.409889    0.419225   0.0397712
          11    0.421899     0.41947    0.036359
          12    0.428042    0.420186   0.0335248
          13    0.406664    0.419149   0.0309773
          14    0.426577    0.419687   0.0288872
          15    0.421914    0.419866    0.027042
          16    0.414065    0.419516   0.0253872
          17    0.424752    0.419832   0.0239587
          18    0.430308    0.420418   0.0226985
          19      0.4175    0.420267   0.0215293
          20    0.431799    0.420844   0.0205094
