#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.199074    0.199074           0
           2    0.200756    0.199925   0.0706843
           3    0.202924    0.200933    0.054687
           4    0.198514    0.200329   0.0433724
           5    0.197781    0.199822   0.0357453
           6    0.198849    0.199662   0.0303776
           7    0.196329    0.199188   0.0263446
           8    0.201421    0.199468   0.0233232
           9    0.195899    0.199075   0.0208544
          10    0.198832     0.19906   0.0188844
          11     0.19536    0.198725   0.0172251
          12    0.197608    0.198633    0.015848
          13    0.196885    0.198498   0.0146701
          14    0.197711    0.198442   0.0136588
          15    0.196458     0.19831   0.0127724
          16    0.199361    0.198376   0.0120048
          17    0.196309    0.198254   0.0113138
          18    0.196888    0.198179   0.0106997
          19    0.193306    0.197923   0.0101392
          20    0.199674    0.198011  0.00964986
