#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35197     1.35197           0
           2     1.36591     1.35894    0.480459
           3     1.37364     1.36384    0.371191
           4      1.3729     1.36611    0.295771
           5     1.38521     1.36993     0.24506
           6     1.38519     1.37247    0.208815
           7     1.39443     1.37561    0.181938
           8      1.3558     1.37313    0.160556
           9     1.41631     1.37793    0.144347
          10     1.34814     1.37495    0.130439
          11     1.37112      1.3746    0.119148
          12     1.39073     1.37595    0.109781
          13     1.38733     1.37682    0.101754
          14     1.37544     1.37672   0.0947603
          15     1.36628     1.37603   0.0886246
          16     1.38258     1.37644   0.0832956
          17     1.40302       1.378   0.0786387
          18     1.41733     1.38019   0.0745166
          19     1.37428     1.37987    0.070688
          20     1.36976     1.37937   0.0672221
