#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200697    0.200697           0
           2    0.200397    0.200547 0.000106013
           3    0.197622    0.199572  0.00079913
           4      0.1934    0.198029  0.00146462
           5     0.19402    0.197227  0.00137372
           6    0.199366    0.197584   0.0011901
           7    0.194807    0.197187  0.00108415
           8    0.200008     0.19754  0.00100434
           9    0.199126    0.197716 0.000908074
          10    0.199016    0.197846 0.000826523
          11     0.19353    0.197453 0.000839364
          12    0.197333    0.197443 0.000769478
          13    0.195831    0.197319 0.000720215
          14    0.194051    0.197086 0.000705584
          15    0.198618    0.197188 0.000665894
          16     0.19752    0.197209 0.000624598
          17    0.198763      0.1973 0.000594511
          18      0.2004    0.197472 0.000585897
          19    0.198691    0.197537 0.000558561
          20    0.193199     0.19732  0.00057118
