#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.34959     1.34959           0
           2     1.34464     1.34712  0.00175009
           3     1.34706      1.3471  0.00116685
           4     1.33406     1.34384  0.00295536
           5      1.3275     1.34057  0.00375983
           6     1.34233     1.34086  0.00314461
           7     1.34214     1.34105  0.00270068
           8     1.34055     1.34098   0.0023638
           9     1.37422     1.34468  0.00406655
          10     1.34552     1.34476  0.00366077
          11     1.37213     1.34725  0.00408703
          12     1.37717     1.34974  0.00444245
          13     1.31798      1.3473  0.00472525
          14     1.34745     1.34731  0.00438774
          15     1.33955     1.34679   0.0041256
          16     1.36405     1.34787  0.00400628
          17     1.35895     1.34852  0.00382325
          18     1.38662     1.35064  0.00415547
          19     1.32972     1.34954  0.00408002
          20     1.34769     1.34945  0.00387707
