#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462024   -0.462024           0
           2   -0.459364   -0.460694 0.000940452
           3   -0.462036   -0.461141 0.000725599
           4   -0.462236   -0.461415 0.000593568
           5   -0.463248   -0.461782 0.000577064
           6   -0.462088   -0.461833 0.000483141
           7   -0.461844   -0.461834 0.000414124
           8    -0.46188    -0.46184 0.000362398
           9   -0.461928    -0.46185 0.000322263
          10   -0.461496   -0.461814 0.000291972
          11   -0.460988   -0.461739 0.000274925
          12   -0.464152    -0.46194 0.000317124
          13   -0.464588   -0.462144 0.000352108
          14   -0.460216   -0.462006 0.000352863
          15   -0.461656   -0.461983  0.00033011
          16   -0.462972   -0.462045 0.000315213
          17   -0.462208   -0.462054 0.000296817
          18    -0.46174   -0.462037 0.000280841
          19   -0.462812   -0.462078 0.000269006
          20    -0.46122   -0.462035 0.000258952
