#   N_BLOCK:  ACCEPTANCE:
           1    0.381081
           2    0.382219
           3     0.38169
           4    0.381435
           5    0.381525
           6    0.381515
           7    0.381611
           8    0.381667
           9    0.381851
          10    0.381574
          11    0.381556
          12    0.381445
          13    0.381399
          14     0.38154
          15    0.381536
          16    0.381544
          17    0.381618
          18    0.381574
          19    0.381538
          20     0.38158
