#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.060708    0.060708           0
           2     0.05173    0.056219   0.0031742
           3    0.048914    0.053784  0.00290359
           4    0.065362   0.0566785  0.00332053
           5    0.067032   0.0587492  0.00323834
           6    0.061136    0.059147  0.00272294
           7    0.047972   0.0575506  0.00276257
           8    0.060898    0.057969  0.00244874
           9    0.061774   0.0583918  0.00221285
          10    0.058448   0.0583974  0.00199157
          11    0.064322    0.058936  0.00188194
          12    0.054904      0.0586  0.00175485
          13    0.058004   0.0585542  0.00162046
          14     0.06156   0.0587689  0.00151887
          15    0.050374   0.0582092  0.00151722
          16    0.060952   0.0583806  0.00143205
          17    0.054458   0.0581499  0.00136627
          18    0.060352   0.0582722  0.00129583
          19    0.058444   0.0582813  0.00122766
          20    0.058002   0.0582673  0.00116636
