#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.316549    0.316549           0
           2    0.321509    0.319176    0.112846
           3    0.325168    0.321194   0.0874181
           4    0.320068    0.320959   0.0694897
           5    0.317833    0.320334   0.0573031
           6    0.318709    0.320063   0.0486961
           7    0.323101    0.320497    0.042389
           8    0.327889    0.321422   0.0375828
           9    0.321507    0.321436   0.0336725
          10    0.321082    0.321415   0.0304921
          11    0.323112    0.321569   0.0278731
          12    0.314119    0.320952   0.0256073
          13    0.321632    0.321004   0.0237239
          14    0.322907    0.321145   0.0221045
          15    0.322206    0.321216   0.0206883
          16    0.324176    0.321401   0.0194497
          17    0.325062    0.321621    0.018354
          18    0.319429    0.321502    0.017358
          19    0.322697    0.321565   0.0164731
          20    0.319102    0.321443   0.0156652
