#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.616078   -0.616078           0
           2   -0.611279   -0.613678   0.0016969
           3   -0.615618   -0.614325  0.00124841
           4   -0.617439   -0.615104  0.00115381
           5   -0.615149   -0.615113 0.000923085
           6   -0.615427   -0.615165  0.00077072
           7   -0.615163   -0.615165 0.000660618
           8   -0.614766   -0.615115 0.000579918
           9   -0.613775   -0.614966 0.000534237
          10   -0.617469   -0.615216 0.000536248
          11   -0.615534   -0.615245 0.000488278
          12   -0.616582   -0.615357  0.00046012
          13   -0.615452   -0.615364 0.000424785
          14   -0.613687   -0.615244 0.000410982
          15   -0.614851   -0.615218 0.000384416
          16   -0.614699   -0.615186 0.000361756
          17   -0.613465   -0.615084  0.00035435
          18   -0.616627    -0.61517 0.000344872
          19   -0.615077   -0.615165 0.000326756
          20   -0.614276   -0.615121 0.000313428
