#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.02603     3.02603           0
           2     3.02975     3.02789     1.07052
           3     3.20668     3.08749    0.840308
           4     3.19134     3.11345    0.674082
           5     3.03065     3.09689    0.553989
           6     3.02449     3.08483    0.469341
           7     3.05593      3.0807    0.407453
           8     3.06834     3.07915    0.360035
           9     3.05589     3.07657    0.322291
          10     3.18038     3.08695    0.292854
          11     3.01843     3.08072    0.267032
          12     2.97845      3.0722    0.245117
          13     3.09296     3.07379     0.22717
          14     3.13908     3.07846    0.211891
          15     2.97291     3.07142    0.197818
          16     3.07699     3.07177    0.185889
          17     3.05207     3.07061    0.175231
          18     3.03405     3.06858    0.165673
          19     3.02465     3.06627    0.157078
          20     3.16843     3.07138     0.14968
