#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.279216    0.279216           0
           2    0.273354    0.276323    0.097695
           3    0.277858    0.276835   0.0753448
           4    0.268513    0.274763   0.0594878
           5    0.272967    0.274433   0.0490921
           6    0.271895    0.274033   0.0416929
           7    0.271999    0.273745   0.0362055
           8    0.271708     0.27349   0.0319783
           9     0.27971    0.274181   0.0287223
          10     0.27159    0.273929   0.0259872
          11    0.271898    0.273745   0.0237277
          12    0.274041    0.273771   0.0218429
          13    0.268894    0.273397   0.0202055
          14    0.273638    0.273416   0.0188193
          15    0.267499    0.273024   0.0175844
          16    0.272817    0.273017   0.0165217
          17    0.273855    0.273066   0.0155831
          18    0.273702    0.273102   0.0147448
          19    0.272566    0.273074    0.013989
          20    0.269101    0.272881   0.0132986
