#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.303816    0.303816           0
           2    0.271228    0.287522   0.0115216
           3    0.288644    0.287896  0.00768713
           4    0.320022    0.295928  0.00903427
           5    0.316984    0.300139  0.00815007
           6    0.301946     0.30044  0.00679728
           7    0.252308    0.293564  0.00862962
           8    0.225254    0.285025   0.0109915
           9    0.324556    0.289418   0.0106116
          10    0.249836    0.285459   0.0102621
          11    0.281768    0.285124  0.00933468
          12    0.262144    0.283209  0.00875101
          13    0.265408     0.28184  0.00818428
          14    0.261664    0.280398  0.00772553
          15    0.262336    0.279194  0.00730374
          16     0.33283    0.282547   0.0075776
          17     0.26176    0.281324  0.00722984
          18    0.314482    0.283166  0.00705896
          19    0.310076    0.284582  0.00682804
          20    0.286318    0.284669  0.00648719
