#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     18.6546     18.6546           0
           2     17.7818     18.2182      6.4411
           3      18.673     18.3698     4.99962
           4     18.8075     18.4792     4.00086
           5     19.4627     18.6759     3.34085
           6     20.4114     18.9651     2.88546
           7     18.4617     18.8932     2.49882
           8      16.486     18.5923     2.17394
           9     19.1311     18.6522     1.95394
          10     18.0428     18.5913     1.76372
          11      18.236      18.559     1.60866
          12     18.2445     18.5328     1.47865
          13     18.4494     18.5264      1.3692
          14     18.4755     18.5227     1.27492
          15     18.6766      18.533     1.19364
          16       20.28     18.6422     1.12814
          17     18.0325     18.6063     1.06181
          18     19.7194     18.6681      1.0079
          19     20.2918     18.7536    0.960706
          20     19.1611      18.774     0.91493
