#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.498242    0.498242           0
           2    0.493429    0.495892    0.175324
           3    0.533908    0.508786    0.138474
           4    0.509697     0.50907    0.110217
           5    0.511617    0.509636   0.0911664
           6    0.535805    0.514036   0.0782081
           7    0.476889    0.508754   0.0672878
           8    0.479862    0.505535   0.0591106
           9    0.512934    0.506366   0.0530452
          10    0.494941    0.505234   0.0479307
          11    0.495804    0.504387   0.0437194
          12    0.484079    0.502694   0.0401078
          13    0.504417    0.502827   0.0371616
          14     0.51773    0.503966   0.0346881
          15    0.473375     0.50197   0.0323299
          16    0.505657    0.502439   0.0304053
          17    0.512614    0.503089   0.0287099
          18    0.524908    0.504365   0.0272308
          19    0.488274     0.50367   0.0258019
          20    0.502407    0.503608   0.0245428
