#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.8635     -0.8635           0
           2   -0.861789   -0.862644 0.000605199
           3   -0.859073   -0.861454  0.00105246
           4    -0.86342   -0.861946 0.000896852
           5   -0.864064   -0.862369 0.000811386
           6   -0.864267   -0.862685 0.000735222
           7   -0.861098   -0.862459 0.000664239
           8   -0.855677   -0.861611 0.000983148
           9   -0.862675   -0.861729  0.00088099
          10   -0.860481   -0.861604 0.000801689
          11   -0.860395   -0.861494 0.000736304
          12   -0.861487   -0.861494 0.000674946
          13   -0.861432   -0.861489 0.000623044
          14   -0.857693   -0.861218 0.000634799
          15   -0.858227   -0.861019 0.000623015
          16   -0.868233   -0.861469 0.000729198
          17   -0.858023   -0.861267 0.000713927
          18   -0.865222   -0.861486 0.000707267
          19   -0.867742   -0.861816 0.000742721
          20    -0.86145   -0.861797  0.00070581
