#   N_BLOCK:  ACCEPTANCE:
           1    0.139725
           2    0.139966
           3    0.141248
           4    0.140774
           5    0.140455
           6     0.14012
           7    0.140201
           8    0.140848
           9     0.14085
          10    0.140964
          11     0.14109
          12    0.141019
          13     0.14099
          14    0.141229
          15    0.141375
          16    0.140943
          17    0.141074
          18     0.14092
          19    0.140616
          20    0.140635
