#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.15911     2.15911           0
           2     2.18024     2.16968    0.767096
           3     2.15565       2.165    0.589238
           4     2.17525     2.16756    0.469291
           5     2.21288     2.17663    0.389367
           6     2.17326     2.17607    0.331078
           7     2.24445     2.18583    0.289099
           8     2.16536     2.18328    0.255283
           9     2.18957     2.18397    0.228786
          10     2.18891     2.18447    0.207237
          11     2.13958     2.18039    0.188993
          12     2.19779     2.18184    0.174079
          13     2.08322     2.17425    0.160689
          14     2.14009     2.17181    0.149487
          15     2.17843     2.17225    0.139906
          16     2.11354     2.16858    0.131233
          17     2.16172     2.16818    0.123732
          18      2.2072     2.17035    0.117178
          19     2.08872     2.16605    0.110962
          20     2.15783     2.16564     0.10554
