#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.275136    0.275136           0
           2    0.270644     0.27292   0.0964919
           3    0.274286     0.27338   0.0744047
           4    0.268078    0.272066   0.0589039
           5    0.268206    0.271303   0.0485322
           6    0.268238    0.270806   0.0412019
           7     0.27093    0.270827   0.0358195
           8    0.272222    0.271002   0.0316874
           9    0.276117    0.271573   0.0284491
          10    0.271549    0.271573   0.0257636
          11    0.268808    0.271321   0.0235177
          12    0.270932    0.271292   0.0216452
          13    0.269799    0.271178   0.0200415
          14    0.270121    0.271114   0.0186608
          15    0.267922    0.270902   0.0174478
          16    0.268647    0.270764   0.0163854
          17    0.267881    0.270595   0.0154421
          18    0.268368    0.270472   0.0146028
          19    0.269169    0.270403   0.0138522
          20    0.266491    0.270215   0.0131687
