#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.332025    0.332025           0
           2    0.326122    0.329108    0.116357
           3    0.367796    0.342924    0.093332
           4    0.350678    0.344937    0.074681
           5    0.324373    0.341156   0.0610279
           6     0.33948    0.340885   0.0518641
           7    0.371581    0.345672   0.0457185
           8    0.311284    0.341674   0.0399509
           9    0.328471    0.340433   0.0356626
          10     0.28494    0.335534   0.0318315
          11    0.285913    0.331428   0.0287276
          12    0.328077    0.331152   0.0264212
          13    0.340723    0.331934   0.0245317
          14    0.337061    0.332444   0.0228822
          15    0.300672    0.330715   0.0213001
          16    0.277916    0.327695   0.0198306
          17     0.26546    0.324478    0.018517
          18    0.366755    0.327502   0.0176819
          19     0.31659    0.326947   0.0167488
          20    0.368877    0.329156   0.0160411
