#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.4365     78.4365           0
           2     79.2175      78.827     27.8695
           3     75.1446     77.5995     21.1199
           4     75.8393     77.1595     16.7055
           5     80.1214     77.7519     13.9087
           6     77.0427     77.6337     11.8116
           7     73.2553     77.0082     10.1851
           8      81.069     77.5158     9.06367
           9     80.9253     77.8946     8.15997
          10     83.2131     78.4265     7.44019
          11     83.7927     78.9143     6.84017
          12     78.9837     78.9201     6.29669
          13     77.5015      78.811     5.82455
          14     75.0442     78.5419     5.40606
          15     83.9443     78.9021     5.08178
          16     83.5527     79.1927     4.79238
          17     84.8066      79.523     4.53815
          18     71.7934     79.0935     4.27028
          19      80.332     79.1587     4.05513
          20     76.4382     79.0227     3.85109
